FamilyID	GCA_027604705.1_ASM2760470v1_protein.faa<1>	GCA_001574975.1_Ganpr1_protein.faa<2>	GCF_000182565.1_S_punctatus_V1_protein.faa<3>	GCF_000002945.1_ASM294v2_protein.faa<4>	GCF_000146045.2_R64_protein.faa<5>	GCF_000011425.1_ASM1142v1_protein.faa<6>	GCA_023515795.1_ASM2351579v1_protein.faa<7>	GCA_001875675.1_ASM187567v1_protein.faa<8>	GCA_027571585.1_ASM2757158v1_protein.faa<9>	GCA_002794465.1_KSL3_v6_protein.faa<10>	GCF_000760515.2_UGP1.1_protein.faa<11>	GCA_000442015.1_Rozella_k41_t100_protein.faa<12>	GCF_000388065.1_Font_alba_ATCC_38817_V2_protein.faa<13>	GCF_000002865.3_V1.0_protein.faa<14>	GCF_000151315.2_C_owczarzaki_V2_protein.faa<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>
family1	3	9	10	-1	0	-9	12	-3	-10	-2	-10	4	-22	6	1	0	1	4	2	4	0	-5	-2	-3	-7	-3	-4	0
family2	1	26	3	-2	-12	34	-5	-3	-1	0	-3	-1	-7	0	7	0	-1	3	1	5	0	1	1	-6	-4	-1	-2	1
family3	0	4	3	0	-4	1	0	-3	-4	-2	-1	1	-7	4	-1	0	0	1	1	1	0	0	0	0	-1	-1	-2	0
family4	1	0	3	1	0	0	-1	-2	-3	-1	-3	0	-3	2	2	0	0	0	0	0	0	2	0	-1	-1	-1	-1	0
family5	3	1	2	0	-2	1	0	-1	-4	0	0	0	-2	0	3	0	0	0	0	0	0	0	0	-1	-1	-1	-2	0
family6	0	4	1	-2	1	-1	2	0	-2	0	-3	0	-5	1	3	0	0	0	0	1	0	0	0	-2	-3	-1	-1	1
family7	0	2	5	0	-2	0	4	-1	0	-1	-3	3	-6	9	-5	0	0	1	0	1	0	-2	-1	0	-3	-1	0	0
family8	-1	5	-1	1	-1	5	1	-3	0	0	-2	-1	0	0	1	0	-1	0	1	0	0	1	0	-1	-1	0	-1	0
family9	1	3	0	2	1	0	0	0	-2	-2	-2	0	0	1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0
family10	-1	2	1	0	0	-2	0	-2	-2	1	-2	1	-2	3	0	0	0	0	1	0	0	0	0	0	-1	0	-1	0
family11	1	-1	1	1	0	1	0	-2	-1	0	1	-2	0	-2	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0
family12	3	1	1	0	-1	-1	1	-2	0	-1	-1	1	-1	1	-3	0	0	0	0	0	0	0	-1	0	-1	-1	0	0
family13	-1	3	1	-4	1	6	-1	-1	-1	1	-2	0	-1	0	4	0	-1	0	0	1	0	0	2	-2	0	0	-1	0
family14	-1	2	2	0	0	0	-1	2	-1	-2	-1	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
family15	1	0	0	1	-1	1	-1	-3	0	-1	-1	0	0	-1	1	0	0	1	0	0	0	0	0	-1	0	0	0	0
family16	0	0	3	-1	1	0	0	0	-1	-1	0	0	-1	1	1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0
family17	0	0	0	0	0	0	0	-1	-2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
family18	5	-1	4	0	0	-2	0	-1	-1	0	-1	1	1	-1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0
family19	2	-1	1	0	0	0	1	0	0	-1	-1	0	3	2	1	0	-1	0	0	0	0	0	0	-1	0	0	0	0
family20	2	-1	0	-3	2	0	1	-2	-1	1	-2	0	-2	-1	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0
family21	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	0	1	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0	0
family22	2	0	1	0	1	0	0	-1	-2	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
family23	1	1	2	1	1	0	-1	1	0	-1	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0
family24	0	3	2	0	0	-1	0	0	-1	0	-1	1	0	2	0	0	0	0	0	1	0	-1	0	0	-1	0	-1	0
family25	1	1	1	0	0	0	0	0	-1	-1	-2	0	-1	3	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0
family26	1	-1	2	0	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
family27	2	0	1	0	0	0	-2	0	-2	0	0	0	-2	1	1	0	0	0	0	0	0	0	0	-1	0	0	0	0
family28	1	0	0	-1	0	0	-1	-1	-1	0	-1	0	-2	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
family29	-1	0	0	1	-1	1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0
family30	1	1	0	0	2	0	0	-1	-1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	-1	0	0	0
family31	0	-1	0	0	0	0	0	-1	-1	0	0	0	-3	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
family32	2	1	1	0	-1	-1	0	-1	-1	0	0	-1	-3	3	1	0	0	0	0	0	0	-1	0	-1	0	-1	0	0
family33	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
family34	1	1	0	1	-1	1	0	0	-1	-1	0	2	-1	2	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0
family35	1	0	1	0	0	-1	-1	0	-1	0	-1	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	-1	0
family36	1	1	0	-1	0	0	0	1	-1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	0	0	0
family37	0	0	0	-1	0	0	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
family38	0	1	1	0	0	-1	0	-1	-1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
family39	2	-2	0	0	0	0	0	-1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
family40	0	0	1	0	1	-1	0	-1	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0
family41	0	-1	1	0	0	0	-1	-1	-1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0
family42	0	0	0	0	0	0	-1	0	0	-2	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family43	0	0	0	0	-1	-1	0	0	-2	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family44	-1	0	0	0	1	0	-1	0	-1	0	-1	-1	-2	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0
family45	0	-1	0	0	-1	0	-1	0	-1	0	-2	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family46	0	0	0	0	0	0	-1	-1	2	-1	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
family47	-1	0	-1	-1	0	-1	0	0	-1	0	-1	0	-2	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0
family48	0	0	0	-1	-1	0	0	-1	-1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
family49	0	1	0	0	1	-2	0	0	0	0	0	-1	-1	-1	1	0	0	0	0	0	0	0	0	-1	0	-1	0	0
family50	1	0	0	2	1	-1	0	0	-1	0	-1	0	0	1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0
family51	0	1	1	0	0	0	0	0	-1	1	-1	-1	0	1	0	0	-1	0	0	1	0	0	-1	0	0	0	0	0
family52	0	0	1	-1	1	0	0	-1	-1	0	1	1	-1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
family53	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0
family54	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
family55	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
family56	0	1	1	-1	0	0	-1	0	0	0	0	0	-1	0	1	0	0	1	0	0	0	0	0	-1	0	0	0	0
family57	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family58	-1	1	0	1	0	-1	-1	-1	-1	0	0	2	-1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
family59	1	0	0	1	0	0	-1	1	0	1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family60	0	-1	1	1	1	0	0	0	0	-1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family61	1	1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family63	0	1	0	1	0	0	-1	0	0	0	0	2	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
family64	0	0	1	0	0	-1	-1	0	0	0	0	1	-1	0	2	0	0	0	0	1	0	0	0	0	-1	0	0	0
family65	1	-1	-1	0	0	0	1	-1	-1	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
family66	0	0	0	1	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0
family67	0	0	1	0	-1	1	-1	0	-1	-1	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
