FamilyID	GCA_027604705.1_ASM2760470v1_protein.faa<1>	GCA_001574975.1_Ganpr1_protein.faa<2>	GCF_000182565.1_S_punctatus_V1_protein.faa<3>	GCF_000002945.1_ASM294v2_protein.faa<4>	GCF_000146045.2_R64_protein.faa<5>	GCF_000011425.1_ASM1142v1_protein.faa<6>	GCA_023515795.1_ASM2351579v1_protein.faa<7>	GCA_001875675.1_ASM187567v1_protein.faa<8>	GCA_027571585.1_ASM2757158v1_protein.faa<9>	GCA_002794465.1_KSL3_v6_protein.faa<10>	GCF_000760515.2_UGP1.1_protein.faa<11>	GCA_000442015.1_Rozella_k41_t100_protein.faa<12>	GCF_000388065.1_Font_alba_ATCC_38817_V2_protein.faa<13>	GCF_000002865.3_V1.0_protein.faa<14>	GCF_000151315.2_C_owczarzaki_V2_protein.faa<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>
family1	43	55	56	36	35	26	54	16	9	21	16	37	13	41	36	35	36	40	42	46	42	37	35	33	26	23	19	35
family2	21	52	29	20	11	57	16	1	3	6	4	10	11	19	26	18	17	20	21	26	21	22	23	11	7	6	4	19
family3	15	21	20	16	12	17	16	7	6	10	12	15	7	18	13	14	14	15	16	17	16	16	16	14	13	12	10	14
family4	12	11	14	14	13	13	10	5	4	7	6	10	8	13	13	11	11	11	11	11	11	13	13	10	9	8	7	11
family5	14	12	13	11	9	12	11	5	2	8	9	10	9	11	14	11	11	11	11	11	11	11	11	10	9	8	6	11
family6	10	15	12	8	11	9	12	3	1	4	2	8	5	12	14	10	10	10	10	11	10	10	10	8	5	4	3	11
family7	10	13	16	8	5	7	14	4	5	4	3	12	3	18	4	9	9	10	10	11	10	8	7	9	6	5	5	9
family8	7	14	8	11	9	15	10	2	5	6	4	6	9	9	10	9	8	8	9	9	9	10	10	7	6	6	5	9
family9	7	9	6	9	8	7	6	5	3	3	3	6	6	7	6	6	6	6	6	6	6	7	7	6	5	5	5	6
family10	5	9	8	7	7	5	7	2	2	6	3	7	4	9	6	6	6	6	7	7	7	7	7	6	5	5	4	6
family11	7	5	7	7	6	7	6	2	3	5	6	3	6	4	6	6	6	6	6	6	6	6	6	5	5	5	4	6
family12	9	7	7	6	4	4	7	2	4	3	4	7	5	7	3	6	6	6	6	6	6	6	5	6	5	4	4	6
family13	4	9	7	1	8	13	4	1	1	4	1	3	5	6	10	6	5	5	5	6	5	5	7	3	3	3	2	6
family14	4	7	7	5	5	5	4	7	4	3	4	5	4	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5
family15	7	6	6	7	5	7	5	1	4	3	3	4	5	4	6	5	5	6	6	6	6	6	6	4	4	4	4	5
family16	5	5	8	3	5	4	5	4	3	3	4	4	5	7	7	6	5	5	5	5	5	4	4	4	4	4	4	6
family17	5	5	5	5	5	5	5	3	2	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5
family18	10	4	9	5	5	3	5	2	2	3	2	5	5	3	4	4	4	5	5	5	5	5	5	4	3	3	3	4
family19	6	3	5	4	4	4	5	3	3	2	2	3	8	7	6	5	4	4	4	4	4	4	4	3	3	3	3	5
family20	7	4	5	2	7	5	6	1	2	5	2	4	3	4	6	5	5	5	5	5	5	5	5	4	4	4	3	5
family21	6	5	6	3	4	4	5	2	2	2	2	4	5	6	4	5	5	5	5	5	5	4	4	4	3	3	3	5
family22	6	4	5	4	5	4	4	2	1	4	5	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4
family23	5	5	6	5	5	4	3	4	3	2	2	4	3	4	3	4	4	4	4	4	4	4	4	4	3	3	3	4
family24	4	8	7	3	3	2	4	2	1	3	2	5	4	6	4	4	4	4	4	5	4	3	3	4	3	3	2	4
family25	5	5	5	4	4	4	4	3	2	2	1	3	3	7	3	4	4	4	4	4	4	4	4	3	3	3	3	4
family26	5	3	6	4	3	3	3	3	3	3	3	4	3	5	3	4	4	4	4	4	4	4	4	4	4	4	4	4
family27	6	4	5	4	4	4	2	3	1	3	3	3	2	5	5	4	4	4	4	4	4	4	4	3	3	3	3	4
family28	5	4	4	3	4	4	3	2	2	3	2	4	2	5	4	4	4	4	4	4	4	4	4	4	3	3	3	4
family29	3	4	4	5	3	5	3	2	2	1	3	3	4	4	4	4	4	4	4	4	4	4	4	3	3	2	2	4
family30	4	4	3	5	7	5	3	1	1	2	2	3	3	4	3	3	3	3	3	3	3	5	5	3	2	2	2	3
family31	4	3	4	4	4	4	4	2	2	3	3	4	1	3	4	4	4	4	4	4	4	4	4	4	3	3	3	4
family32	6	5	5	3	2	2	4	1	1	2	3	2	1	7	5	4	4	4	4	4	4	3	3	3	3	2	2	4
family33	4	3	4	4	3	4	4	2	2	3	3	3	2	2	4	3	3	4	4	4	4	4	4	3	3	3	3	3
family34	4	4	3	5	3	5	3	2	1	1	2	5	2	5	2	3	3	3	3	3	3	4	4	3	2	2	2	3
family35	4	3	4	3	3	2	2	2	1	3	2	3	3	4	5	4	3	3	3	3	3	3	3	3	3	3	2	4
family36	4	4	3	2	3	3	3	3	1	2	2	2	3	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3
family37	3	3	3	2	3	3	2	3	3	3	3	3	3	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3
family38	3	4	4	3	3	2	3	1	1	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	3
family39	5	1	3	3	3	3	3	1	1	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3
family40	3	3	4	4	5	3	3	1	2	1	1	3	2	3	3	3	3	3	3	3	3	4	4	3	2	2	2	3
family41	3	2	4	3	3	3	2	1	1	2	2	3	3	4	4	3	3	3	3	3	3	3	3	3	2	2	2	3
family42	3	3	3	3	3	3	2	3	3	1	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
family43	3	3	3	3	2	2	3	3	1	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
family44	2	3	3	3	4	3	2	2	1	3	2	2	1	2	4	3	3	3	3	3	3	3	3	3	3	3	2	3
