Desc	Family ID	GCA_000442015.1_Rozella_k41_t100_protein.faa	GCA_001574975.1_Ganpr1_protein.faa	GCA_001875675.1_ASM187567v1_protein.faa	GCA_002794465.1_KSL3_v6_protein.faa	GCA_023515795.1_ASM2351579v1_protein.faa	GCA_027571585.1_ASM2757158v1_protein.faa	GCA_027604705.1_ASM2760470v1_protein.faa	GCF_000002865.3_V1.0_protein.faa	GCF_000002945.1_ASM294v2_protein.faa	GCF_000011425.1_ASM1142v1_protein.faa	GCF_000146045.2_R64_protein.faa	GCF_000151315.2_C_owczarzaki_V2_protein.faa	GCF_000182565.1_S_punctatus_V1_protein.faa	GCF_000388065.1_Font_alba_ATCC_38817_V2_protein.faa	GCF_000760515.2_UGP1.1_protein.faa
(null)	family1	37	55	16	21	54	9	43	41	36	26	35	36	56	13	16
(null)	family2	10	52	1	6	16	3	21	19	20	57	11	26	29	11	4
(null)	family3	15	21	7	10	16	6	15	18	16	17	12	13	20	7	12
(null)	family4	10	11	5	7	10	4	12	13	14	13	13	13	14	8	6
(null)	family5	10	12	5	8	11	2	14	11	11	12	9	14	13	9	9
(null)	family6	8	15	3	4	12	1	10	12	8	9	11	14	12	5	2
(null)	family7	12	13	4	4	14	5	10	18	8	7	5	4	16	3	3
(null)	family8	6	14	2	6	10	5	7	9	11	15	9	10	8	9	4
(null)	family9	6	9	5	3	6	3	7	7	9	7	8	6	6	6	3
(null)	family10	7	9	2	6	7	2	5	9	7	5	7	6	8	4	3
(null)	family11	3	5	2	5	6	3	7	4	7	7	6	6	7	6	6
(null)	family12	7	7	2	3	7	4	9	7	6	4	4	3	7	5	4
(null)	family13	3	9	1	4	4	1	4	6	1	13	8	10	7	5	1
(null)	family14	5	7	7	3	4	4	4	6	5	5	5	6	7	4	4
(null)	family15	4	6	1	3	5	4	7	4	7	7	5	6	6	5	3
(null)	family16	4	5	4	3	5	3	5	7	3	4	5	7	8	5	4
(null)	family17	5	5	3	5	5	2	5	5	5	5	5	5	5	5	4
(null)	family18	5	4	2	3	5	2	10	3	5	3	5	4	9	5	2
(null)	family19	3	3	3	2	5	3	6	7	4	4	4	6	5	8	2
(null)	family20	4	4	1	5	6	2	7	4	2	5	7	6	5	3	2
(null)	family21	4	5	2	2	5	2	6	6	3	4	4	4	6	5	2
(null)	family22	4	4	2	4	4	1	6	4	4	4	5	4	5	3	5
(null)	family23	4	5	4	2	3	3	5	4	5	4	5	3	6	3	2
(null)	family24	5	8	2	3	4	1	4	6	3	2	3	4	7	4	2
(null)	family25	3	5	3	2	4	2	5	7	4	4	4	3	5	3	1
(null)	family26	4	3	3	3	3	3	5	5	4	3	3	3	6	3	3
(null)	family27	3	4	3	3	2	1	6	5	4	4	4	5	5	2	3
(null)	family28	4	4	2	3	3	2	5	5	3	4	4	4	4	2	2
(null)	family29	3	4	2	1	3	2	3	4	5	5	3	4	4	4	3
(null)	family30	3	4	1	2	3	1	4	4	5	5	7	3	3	3	2
(null)	family31	4	3	2	3	4	2	4	3	4	4	4	4	4	1	3
(null)	family32	2	5	1	2	4	1	6	7	3	2	2	5	5	1	3
(null)	family33	3	3	2	3	4	2	4	2	4	4	3	4	4	2	3
(null)	family34	5	4	2	1	3	1	4	5	5	5	3	2	3	2	2
(null)	family35	3	3	2	3	2	1	4	4	3	2	3	5	4	3	2
(null)	family36	2	4	3	2	3	1	4	4	2	3	3	4	3	3	2
(null)	family37	3	3	3	3	2	3	3	2	2	3	3	4	3	3	3
(null)	family38	3	4	1	3	3	1	3	4	3	2	3	3	4	3	2
(null)	family39	3	1	1	3	3	1	5	3	3	3	3	3	3	4	2
(null)	family40	3	3	1	1	3	2	3	3	4	3	5	3	4	2	1
(null)	family41	3	2	1	2	2	1	3	4	3	3	3	4	4	3	2
(null)	family42	3	3	3	1	2	3	3	3	3	3	3	3	3	2	2
(null)	family43	3	3	3	2	3	1	3	2	3	2	2	3	3	3	2
(null)	family44	2	3	2	3	2	1	2	2	3	3	4	4	3	1	2
(null)	family45	3	2	3	3	2	2	3	2	3	3	2	3	3	2	1
(null)	family46	1	3	1	1	2	4	3	2	3	3	3	2	3	3	2
(null)	family47	3	3	2	3	3	1	2	3	2	2	3	4	2	1	2
(null)	family48	3	3	1	2	3	1	3	3	2	3	2	3	3	1	2
(null)	family49	1	4	1	1	3	1	3	2	3	1	4	4	3	2	2
(null)	family50	2	2	2	2	2	1	3	3	5	2	4	1	2	2	1
(null)	family51	1	4	2	3	2	1	2	4	2	1	1	3	4	3	1
(null)	family52	3	3	1	2	2	1	2	4	1	2	3	2	4	1	3
(null)	family53	2	3	1	1	3	1	2	4	3	2	2	2	3	3	1
(null)	family54	3	2	1	1	3	1	3	1	2	2	3	3	3	3	2
(null)	family55	2	2	2	2	2	2	2	3	2	2	2	3	2	3	1
(null)	family56	1	4	1	1	2	1	3	2	2	3	3	3	4	1	1
(null)	family57	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2
(null)	family58	4	3	1	2	1	1	1	4	3	1	2	3	2	1	2
(null)	family59	2	2	3	3	1	2	3	1	3	2	2	2	2	1	2
(null)	family60	2	1	2	1	2	2	2	1	3	2	3	2	3	3	2
(null)	family61	2	3	2	1	2	1	3	2	2	2	2	2	2	2	2
(null)	family62	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(null)	family63	4	3	1	1	1	1	2	3	3	2	2	2	2	1	1
(null)	family64	3	3	1	1	1	1	2	2	2	1	2	4	4	1	1
(null)	family65	2	1	1	3	3	1	3	2	2	2	2	2	1	1	3
(null)	family66	1	2	2	1	2	1	2	2	4	2	3	1	2	2	2
(null)	family67	2	2	2	1	1	1	2	3	2	3	1	3	3	2	1
(null)	family68	2	2	2	2	2	1	2	2	2	2	3	2	2	2	1
(null)	family69	2	2	2	2	2	1	2	1	2	2	3	2	2	2	1
(null)	family70	2	3	1	2	2	1	2	2	2	2	2	2	2	2	1
(null)	family71	1	2	1	1	2	1	2	2	2	2	2	3	3	2	2
(null)	family72	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2
(null)	family73	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2
(null)	family74	2	3	1	1	2	1	3	2	1	2	2	3	2	1	1
(null)	family75	2	1	1	1	2	1	3	1	2	2	2	3	2	2	2
(null)	family76	2	2	1	2	1	1	2	2	2	2	2	3	2	1	2
(null)	family77	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2
(null)	family78	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2
(null)	family79	2	2	1	1	2	1	3	2	2	2	2	2	2	2	1
(null)	family80	1	2	2	1	1	2	2	1	2	2	2	3	2	2	2
(null)	family81	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2
(null)	family82	1	2	1	2	2	1	2	1	2	2	2	3	2	1	2
(null)	family83	2	2	1	1	1	3	4	1	1	2	2	3	1	1	1
(null)	family84	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2
(null)	family85	2	2	1	2	2	2	2	2	2	2	2	1	1	2	1
(null)	family86	1	2	1	2	1	1	2	2	2	2	2	2	3	2	1
(null)	family87	1	2	2	2	3	1	1	2	2	1	1	2	2	2	2
(null)	family88	1	2	2	2	2	1	1	2	2	1	1	2	2	2	2
(null)	family89	2	1	1	2	2	1	3	2	2	1	1	4	1	1	1
